patient,sample,lane,fastq_1,fastq_2
patient1,SAMN15501053,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198454_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198454_2.fastq.gz
patient1,SAMN15501053,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198455_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198455_2.fastq.gz
patient1,SAMN15501053,lane8,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198466_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198466_2.fastq.gz
patient1,SAMN15501053,lane14,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198477_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198477_2.fastq.gz
patient1,SAMN15501053,lane20,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198488_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198488_2.fastq.gz
patient1,SAMN15501053,lane26,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198499_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198499_2.fastq.gz
patient1,SAMN15501053,lane32,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198510_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198510_2.fastq.gz
patient1,SAMN15501053,lane38,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198521_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198521_2.fastq.gz
patient1,SAMN15501053,lane44,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198532_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198532_2.fastq.gz
patient1,SAMN15501053,lane45,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198533_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12198533_2.fastq.gz
patient1,SAMN22234694,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805711_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805711_2.fastq.gz
patient1,SAMN22234694,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805728_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805728_2.fastq.gz
patient1,SAMN22234699,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805712_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805712_2.fastq.gz
patient1,SAMN22234699,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805720_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805720_2.fastq.gz
patient1,SAMN22234698,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805713_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805713_2.fastq.gz
patient1,SAMN22234698,lane2,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805721_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805721_2.fastq.gz
patient1,SAMN22234697,lane1,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805714_1.fastq.gz,/hps/nobackup/flicek/ensembl/variation/snhossain/issues/ensvar-6241/inputs/GCA_000003025/samples/SRR12805714_2.fastq.gz
